Sold,AvgPrice,YearNum,MonthNum,FishGroup,Country
2385.4451107220293,6.900460599999999,2023,1,Cod,USA
215.00303907249324,3.7037615999999995,2023,1,Haddock,USA
32.65868947936606,3.9242236,2023,1,Cod,USA
5855.4308679046735,5.114718399999999,2023,1,Haddock,USA
1518.6290607905219,5.5556424,2023,1,Hake,USA
159.21111121190955,3.1526065999999995,2023,1,Hake,USA
2174.5244078344567,2.0723427999999995,2023,1,Pollock,USA
4376.264390235052,4.0785469999999995,2023,1,Pollock,USA
6465.966924005044,3.2407913999999995,2023,1,Pollock,USA
1100.8699912002976,8.443694599999999,2023,1,Cod,USA
13130.6075423429,4.5856096,2023,1,Haddock,USA
2010.3237746187554,5.709965799999999,2023,1,Hake,USA
280.32041803122536,1.6755111999999999,2023,1,Redfish,USA
8381.48978055175,4.431286199999999,2023,2,Haddock,USA
795.1483702406765,5.4674575999999995,2023,2,Hake,USA
1499.1245656847893,5.070625999999999,2023,2,Cod,USA
3.175150366049478,1.4550492,2023,2,Hake,USA
223.16771144233476,1.4770954,2023,2,Redfish,USA
1517.7218749716505,5.3131341999999995,2023,2,Pollock,USA
29.483539113316585,2.3368972,2023,2,Haddock,USA
1891.0288394371821,4.6958405999999995,2023,2,Pollock,USA
166.01500485344414,2.4471282,2023,2,Pollock,USA
625.9582150211828,7.914585799999999,2023,2,Cod,USA
10633.578575899703,3.6376229999999996,2023,2,Haddock,USA
61.68863568324701,3.2407913999999995,2023,2,Hake,USA
2.7215574566138385,2.2487124,2023,2,Cod,USA
1899.6471047164594,4.365147599999999,2023,2,Hake,USA
94.34732516261306,1.5432339999999998,2023,3,Hake,USA
657.256125772242,1.5432339999999998,2023,3,Redfish,USA
2424.4541009334944,2.5353129999999995,2023,3,Hake,USA
1066.8505229926247,2.3589434,2023,3,Hake,USA
3961.226878101442,2.9982832,2023,3,Hake,USA
7361.359327230997,4.210824199999999,2023,3,Cod,USA
635.0300732098956,6.5918138,2023,3,Pollock,USA
8.618265279277155,2.5794053999999997,2023,3,Cod,USA
8236.340049532346,4.299009,2023,3,Haddock,USA
87.54343152107847,2.1384814,2023,3,Haddock,USA
13495.296241529153,3.3289761999999996,2023,3,Haddock,USA
799.2307064255972,5.665873399999999,2023,3,Pollock,USA
435.9027859676498,6.194982199999999,2023,3,Cod,USA
210.0135170687012,2.8880521999999997,2023,3,Pollock,USA
357.4312126352841,6.7461372,2023,4,Cod,USA
13532.944453012311,3.3951148,2023,4,Haddock,USA
1777.6306120782722,3.1085141999999997,2023,4,Hake,USA
214.5494461630576,1.7857422,2023,4,Redfish,USA
1036.0062051510013,5.842242999999999,2023,4,Pollock,USA
1724.1066487648666,6.657952399999999,2023,4,Pollock,USA
539.3219693189757,4.188777999999999,2023,4,Pollock,USA
1259.173916593336,3.0423755999999993,2023,4,Hake,USA
819.642387350201,2.2928048,2023,4,Hake,USA
159.21111121190955,2.5132667999999994,2023,4,Cod,USA
30.39072493218786,1.5432339999999998,2023,4,Hake,USA
5124.692690803858,4.784025399999999,2023,4,Haddock,USA
2359.590314884198,4.3871937999999995,2023,4,Cod,USA
180.98357086482025,2.1825737999999997,2023,4,Haddock,USA
2135.515417622992,4.739933,2023,5,Hake,USA
2.7215574566138385,3.5714844,2023,5,Cod,USA
99.79044007584075,6.9665992,2023,5,Cod,USA
53.97755622284113,2.4471282,2023,5,Haddock,USA
1419.2922136241168,5.533596199999999,2023,5,Haddock,USA
64.86378604929648,2.0723427999999995,2023,5,Redfish,USA
719.8519472743603,2.6896363999999995,2023,5,Hake,USA
492.60189964710474,4.1226394,2023,5,Pollock,USA
390.5434950240858,2.1605275999999995,2023,5,Pollock,USA
25.401202928395826,1.7196036,2023,5,Hake,USA
118.84134227213761,6.261120799999999,2023,5,Pollock,USA
517.0959167566293,6.194982199999999,2023,5,Cod,USA
1018.3160816830112,6.5918138,2023,5,Haddock,USA
865.9088641126363,5.379272799999999,2023,5,Hake,USA
1412.0347270731465,2.5794053999999997,2023,6,Pollock,USA
902.649889776923,7.0327378,2023,6,Cod,USA
10128.2760747884,4.4974248,2023,6,Haddock,USA
3940.3616042674025,4.365147599999999,2023,6,Hake,USA
14.061380192504831,3.7037615999999995,2023,6,Cod,USA
3083.524598343479,5.4454114,2023,6,Haddock,USA
266.7126307481562,2.5794053999999997,2023,6,Haddock,USA
1782.6201340820642,4.784025399999999,2023,6,Pollock,USA
2060.218994656676,5.6438272,2023,6,Cod,USA
2686.630802587294,6.1508898,2023,6,Pollock,USA
855.022634286181,7.385477,2023,6,Hake,USA
684.9252932478161,2.9100984,2023,6,Hake,USA
39.00899021146502,2.1164351999999997,2023,6,Hake,USA
295.7425769520371,2.755775,2023,6,Redfish,USA
240.40424200088907,9.2373578,2023,7,Cod,USA
484.8908201866989,7.076830199999999,2023,7,Cod,USA
6063.630013335632,6.349305599999999,2023,7,Haddock,USA
237.2290916348396,3.4832996,2023,7,Haddock,USA
1422.9209568996018,7.407523199999999,2023,7,Pollock,USA
6.8038936415345965,3.5714844,2023,7,Cod,USA
99.33684716640511,1.8077883999999997,2023,7,Hake,USA
869.991200297557,8.135047799999999,2023,7,Hake,USA
966.6064900073483,3.6376229999999996,2023,7,Hake,USA
794.6947773312409,4.431286199999999,2023,7,Pollock,USA
808.30256461431,7.8043548,2023,7,Pollock,USA
6720.432546198438,5.7981506,2023,7,Haddock,USA
9188.431566437754,5.2690418,2023,7,Hake,USA
1158.4762906986239,2.8439598,2023,7,Redfish,USA
5031.252551460116,5.423365199999999,2023,8,Haddock,USA
