FishCode,FishDesc,Consigned,Sold,LowPrice,AvgPrice,HighPrice,MonthNum,YearNum,FishGroup
FADJ,"Halibut, Atlantic | >125",134.0,134,3.02,3.02,3.02,4,2010,Halibut
HWSS,"Hake, white | small",345.0,334,0.0,1.18,1.99,4,2010,Hake
POWX,Redfish | mixed,15451.0,13920,0.32,0.83,1.42,4,2010,Redfish
FYWS,Yellowtail | small,345.0,345,0.69,0.9,1.28,4,2010,Yellowtail
PADL,"Pollock, Atl | large",76632.0,76632,0.57,0.84,1.9,4,2010,Pollock
CADL,Cod | large,2677.0,2677,1.13,2.63,3.52,5,2010,Cod
FADM,"Halibut, Atlantic | 50-85",52.0,52,7.26,7.26,7.26,5,2010,Halibut
HDDS,Haddock | scrod,193.0,184,0.0,1.35,2.13,5,2010,Haddock
CADS,Cod | scrod,314.0,314,0.83,1.05,2.33,5,2010,Cod
FADS,"Halibut, Atlantic | 10-50",68.0,68,7.46,7.49,7.51,5,2010,Halibut
FYWL,Yellowtail | large,15.0,15,1.17,1.2,1.23,5,2010,Yellowtail
FYWS,Yellowtail | small,25.0,25,0.85,0.97,1.11,5,2010,Yellowtail
PADM,"Pollock, Atl | medium",5887.0,5887,0.89,1.54,2.08,5,2010,Pollock
PADS,"Pollock, Atl | small",4307.0,4307,0.48,1.02,1.52,5,2010,Pollock
HWSL,"Hake, white | large",41260.0,41260,0.79,1.46,3.01,5,2010,Hake
HWSS,"Hake, white | small",985.0,980,0.0,1.0,1.79,5,2010,Hake
POWX,Redfish | mixed,7935.0,7935,0.34,0.83,1.32,5,2010,Redfish
HWSJ,"Hake, white | sow",2844.0,2698,0.0,2.32,2.82,5,2010,Hake
HWSM,"Hake, white | medium",2793.0,2793,0.74,1.61,2.64,5,2010,Hake
CADM,Cod | market,16238.0,15139,0.0,1.7,3.77,5,2010,Cod
HDDL,Haddock | large,434.0,434,1.5,1.9,2.6,5,2010,Haddock
PADL,"Pollock, Atl | large",7731.0,7538,0.0,1.88,2.54,5,2010,Pollock
CADS,Cod | scrod,463.0,463,0.98,1.61,2.72,6,2010,Cod
FADS,"Halibut, Atlantic | 10-50",59.0,59,7.01,7.31,7.51,6,2010,Halibut
FYWL,Yellowtail | large,6.0,6,0.84,0.91,1.0,6,2010,Yellowtail
FYWS,Yellowtail | small,22.0,22,0.72,0.89,0.97,6,2010,Yellowtail
HWSS,"Hake, white | small",1028.0,1028,0.47,0.81,1.3,6,2010,Hake
PADL,"Pollock, Atl | large",50623.0,50623,0.69,1.78,2.3,6,2010,Pollock
CADL,Cod | large,13989.0,13989,1.16,2.07,4.92,6,2010,Cod
CADM,Cod | market,46865.0,46865,1.21,1.78,3.57,6,2010,Cod
FYWX,Yellowtail | mixed,32.0,32,0.99,0.99,0.99,6,2010,Yellowtail
HDDS,Haddock | scrod,10815.0,10815,0.77,1.43,1.94,6,2010,Haddock
POWX,Redfish | mixed,7501.0,7501,0.32,0.76,1.45,6,2010,Redfish
HWSL,"Hake, white | large",76266.0,76266,0.87,1.18,2.64,6,2010,Hake
HDDL,Haddock | large,2564.0,2564,1.24,1.96,2.23,6,2010,Haddock
HWSJ,"Hake, white | sow",1826.0,1816,0.0,2.13,3.62,6,2010,Hake
HWSM,"Hake, white | medium",3504.0,3504,0.69,1.05,1.98,6,2010,Hake
PADM,"Pollock, Atl | medium",17510.0,17510,0.62,1.52,2.3,6,2010,Pollock
PADS,"Pollock, Atl | small",5732.0,5732,0.54,1.0,2.28,6,2010,Pollock
FYWS,Yellowtail | small,175.0,173,0.0,0.72,1.41,7,2010,Yellowtail
PADL,"Pollock, Atl | large",64399.0,63052,0.0,1.31,1.88,7,2010,Pollock
HWSS,"Hake, white | small",1625.0,1350,0.0,0.72,0.99,7,2010,Hake
POWX,Redfish | mixed,5962.0,5664,0.0,0.64,1.44,7,2010,Redfish
HWSJ,"Hake, white | sow",1741.0,1741,1.47,2.53,3.57,7,2010,Hake
CADM,Cod | market,96161.0,96096,1.08,2.02,2.81,7,2010,Cod
FYWL,Yellowtail | large,284.0,7,0.0,0.87,0.91,7,2010,Yellowtail
FYWX,Yellowtail | mixed,61.0,61,0.78,0.92,1.06,7,2010,Yellowtail
CADS,Cod | scrod,115.0,115,0.94,1.49,1.82,7,2010,Cod
FADS,"Halibut, Atlantic | 10-50",25.0,25,8.06,8.06,8.06,7,2010,Halibut
HDDL,Haddock | large,3087.0,3055,0.0,1.61,2.73,7,2010,Haddock
HDDS,Haddock | scrod,18638.0,18600,0.0,1.0,1.92,7,2010,Haddock
PADM,"Pollock, Atl | medium",13605.0,13605,0.62,1.18,1.71,7,2010,Pollock
CADL,Cod | large,45711.0,45162,0.92,2.07,3.77,7,2010,Cod
HWSL,"Hake, white | large",32048.0,32038,0.89,1.31,2.0,7,2010,Hake
HWSM,"Hake, white | medium",4476.0,4360,0.48,0.97,1.3,7,2010,Hake
PADS,"Pollock, Atl | small",4737.0,4737,0.4,1.13,1.61,7,2010,Pollock
PADL,"Pollock, Atl | large",127305.0,127305,0.56,1.06,2.16,8,2010,Pollock
CADM,Cod | market,71558.0,71507,1.37,2.39,3.23,8,2010,Cod
HDDL,Haddock | large,407.0,403,0.0,1.5,1.76,8,2010,Haddock
HWSJ,"Hake, white | sow",1180.0,1180,1.84,2.91,4.02,8,2010,Hake
HWSM,"Hake, white | medium",6378.0,6378,0.97,1.35,1.72,8,2010,Hake
HWSL,"Hake, white | large",49599.0,49599,1.23,1.68,2.54,8,2010,Hake
HWSS,"Hake, white | small",1402.0,1402,0.32,0.94,1.24,8,2010,Hake
POWX,Redfish | mixed,7023.0,7023,0.34,0.76,1.32,8,2010,Redfish
PADS,"Pollock, Atl | small",8267.0,8267,0.43,0.83,1.8,8,2010,Pollock
FYWL,Yellowtail | large,5.0,5,0.87,0.95,1.0,8,2010,Yellowtail
FYWS,Yellowtail | small,2.0,2,0.77,0.77,0.77,8,2010,Yellowtail
PADM,"Pollock, Atl | medium",32914.0,32914,0.55,0.9,2.1,8,2010,Pollock
CADL,Cod | large,38382.0,38082,1.42,2.42,4.47,8,2010,Cod
FYWX,Yellowtail | mixed,14.0,14,0.99,1.07,1.11,8,2010,Yellowtail
PASX,"Pollock, Atl | scaler",47.0,39,0.0,0.75,0.75,8,2010,Pollock
CADS,Cod | scrod,57.0,57,1.15,1.46,1.85,8,2010,Cod
FADS,"Halibut, Atlantic | 10-50",95.0,95,7.51,7.66,8.06,8,2010,Halibut
HDDS,Haddock | scrod,528.0,528,0.61,0.93,1.19,8,2010,Haddock
HDDL,Haddock | large,1471.0,1467,0.0,1.67,1.82,9,2010,Haddock
HWSJ,"Hake, white | sow",1792.0,1722,1.47,2.56,3.57,9,2010,Hake
HWSM,"Hake, white | medium",9401.0,9401,0.6,0.95,1.23,9,2010,Hake
PADM,"Pollock, Atl | medium",84314.0,80557,0.6,0.81,1.72,9,2010,Pollock
HWSL,"Hake, white | large",54856.0,54856,0.81,1.27,2.02,9,2010,Hake
PADS,"Pollock, Atl | small",28300.0,27100,0.54,0.67,1.43,9,2010,Pollock
CADL,Cod | large,29394.0,29318,1.2,2.45,3.47,9,2010,Cod
CADM,Cod | market,64123.0,63639,1.01,2.22,3.52,9,2010,Cod
HDDS,Haddock | scrod,10546.0,10536,0.0,0.91,1.23,9,2010,Haddock
POWX,Redfish | mixed,31070.0,31070,0.32,0.55,1.26,9,2010,Redfish
PADL,"Pollock, Atl | large",195173.0,190895,0.6,0.95,2.01,9,2010,Pollock
FADS,"Halibut, Atlantic | 10-50",60.0,60,8.56,8.84,9.06,9,2010,Halibut
FYWL,Yellowtail | large,1.0,1,0.79,0.79,0.79,9,2010,Yellowtail
FYWS,Yellowtail | small,3.0,3,0.65,0.81,0.89,9,2010,Yellowtail
PASM,"Pollock, Atl | headless medium",42.0,0,0.0,0.0,0.0,9,2010,Pollock
CADS,Cod | scrod,93.0,69,0.0,1.33,1.64,9,2010,Cod
HWSS,"Hake, white | small",1201.0,1201,0.5,0.71,0.86,9,2010,Hake
HWSM,"Hake, white | medium",5876.0,5876,0.74,1.25,2.65,10,2010,Hake
PADS,"Pollock, Atl | small",29161.0,29161,0.51,0.86,1.49,10,2010,Pollock
PASX,"Pollock, Atl | scaler",88.0,88,0.67,0.67,0.67,10,2010,Pollock
CADL,Cod | large,38717.0,38717,1.52,2.53,4.57,10,2010,Cod
FADM,"Halibut, Atlantic | 50-85",64.0,64,8.96,8.96,8.96,10,2010,Halibut
HDDS,Haddock | scrod,3842.0,3839,0.0,1.36,1.76,10,2010,Haddock
HWSL,"Hake, white | large",29145.0,29145,0.9,1.52,2.7,10,2010,Hake
POWX,Redfish | mixed,18635.0,18635,0.24,0.71,1.5,10,2010,Redfish
CADS,Cod | scrod,56.0,56,1.01,1.7,2.09,10,2010,Cod
FADS,"Halibut, Atlantic | 10-50",67.0,67,8.11,9.21,10.16,10,2010,Halibut
FYWL,Yellowtail | large,4.0,4,0.99,1.04,1.07,10,2010,Yellowtail
HDDL,Haddock | large,496.0,496,1.33,2.12,2.3,10,2010,Haddock
PADM,"Pollock, Atl | medium",83783.0,83783,0.62,0.95,1.66,10,2010,Pollock
CADM,Cod | market,57421.0,55496,1.34,2.3,3.87,10,2010,Cod
FYWX,Yellowtail | mixed,7.0,7,0.98,0.98,0.98,10,2010,Yellowtail
HWSJ,"Hake, white | sow",1034.0,1034,2.29,2.99,4.12,10,2010,Hake
FYWS,Yellowtail | small,1.0,1,1.0,1.0,1.0,10,2010,Yellowtail
HWSS,"Hake, white | small",1865.0,1865,0.42,0.82,1.2,10,2010,Hake
FADL,"Halibut, Atlantic | 85-125",133.0,133,9.31,9.31,9.31,10,2010,Halibut
PADL,"Pollock, Atl | large",137050.0,127953,0.0,1.22,2.11,10,2010,Pollock
CADS,Cod | scrod,9.0,9,1.29,1.67,2.21,11,2010,Cod
FADS,"Halibut, Atlantic | 10-50",35.0,35,10.41,10.41,10.41,11,2010,Halibut
HDDS,Haddock | scrod,211.0,211,0.97,1.63,2.25,11,2010,Haddock
CADL,Cod | large,25780.0,25562,1.62,2.42,4.02,11,2010,Cod
CADM,Cod | market,41464.0,41464,1.3,2.12,3.1,11,2010,Cod
FYWX,Yellowtail | mixed,2.0,2,0.98,0.98,0.98,11,2010,Yellowtail
FADM,"Halibut, Atlantic | 50-85",74.0,74,10.36,10.36,10.36,11,2010,Halibut
FYWL,Yellowtail | large,2.0,2,1.34,1.34,1.34,11,2010,Yellowtail
