YYYY/MM,FishGroup,Country,AmountSold_by_Kilo,AvgPrice_per_Kilo,Imported
2004-01,Cod,USA,37891.79087552504,4.419321603196188,No
2004-01,Haddock,USA,24066.27899592674,3.743734543061236,No
2004-01,Hake,USA,103171.06802986456,2.091564467836432,No
2004-01,Pollock,USA,56597.96246065082,1.4107476051900592,No
2004-01,Redfish,USA,6455.98787999746,1.8077883999999995,No
2004-02,Cod,USA,57071.96705101107,3.637451286976839,No
2004-02,Haddock,USA,120841.68700274877,2.893344578945235,No
2004-02,Hake,USA,139801.4170242491,1.6581116624861698,No
2004-02,Pollock,USA,120811.74987072604,1.5190102800130654,No
2004-02,Redfish,USA,15452.54964574394,1.1243562,No
2004-03,Cod,USA,94923.38815759633,3.4449197015291246,No
2004-03,Haddock,USA,80199.30872440603,3.2081331384556213,No
2004-03,Hake,USA,160185.4287813773,2.03542527232605,No
2004-03,Pollock,USA,174808.81058867287,1.7370863000407382,No
2004-03,Redfish,USA,11291.28829458138,1.4550492,No
2004-04,Cod,USA,114840.19921800583,3.1796244040540484,No
2004-04,Haddock,USA,117251.4991245657,2.655903782254976,No
2004-04,Hake,USA,99076.03124347962,3.2263954862547775,No
2004-04,Pollock,USA,146683.32864620662,1.8845853346207722,No
2004-04,Redfish,USA,10003.538024693598,1.4550492,No
2004-05,Cod,USA,46999.02931117381,3.937936436402065,No
2004-05,Haddock,USA,30582.594732879137,2.268643344556012,No
2004-05,Hake,USA,149485.62564070002,1.743419602272734,No
2004-05,Pollock,USA,114421.98655550618,1.2241538030984274,No
2004-05,Redfish,USA,6784.842739338299,1.5211877999999996,No
2004-06,Cod,USA,112327.2944997324,3.1076867964698613,No
2004-06,Haddock,USA,28115.049305549255,2.2171204226804124,No
2004-06,Hake,USA,159432.01095880472,1.4313232244117138,No
2004-06,Pollock,USA,189767.39755604143,1.1091908447437047,No
2004-06,Redfish,USA,7874.826500712142,1.1684486,No
2004-07,Cod,USA,116687.68313813719,3.0712675953617463,No
2004-07,Haddock,USA,48025.05647231723,2.074535821887662,No
2004-07,Hake,USA,146367.17438832996,0.8732199725390783,No
2004-07,Pollock,USA,167652.47525650682,1.049590706792565,No
2004-07,Redfish,USA,11483.61168818209,1.0802637999999998,No
2004-08,Cod,USA,51447.41497400914,4.020925834748108,No
2004-08,Haddock,USA,82236.84807359093,2.4270947230539264,No
2004-08,Hake,USA,147463.96204334535,0.9347026086243702,No
2004-08,Pollock,USA,129078.48064519056,1.7537969061029133,No
2004-08,Redfish,USA,17750.904917854325,1.0141252,No
2004-09,Cod,USA,35190.645099835805,3.5130109052924645,No
2004-09,Haddock,USA,113821.4295434134,2.057413361784221,No
2004-09,Hake,USA,128933.33091417117,1.6970711797220042,No
2004-09,Pollock,USA,135699.12275131315,1.699509586533184,No
2004-09,Redfish,USA,18070.234326097016,0.9038942,No
2004-10,Cod,USA,36372.70822182508,4.28336622749788,No
2004-10,Haddock,USA,79601.92686267928,2.534088909028332,No
2004-10,Hake,USA,91304.17033320936,2.5668829708948735,No
2004-10,Pollock,USA,125949.14316299409,1.1825128481204303,No
2004-10,Redfish,USA,16011.376110168649,1.0141252,No
2004-11,Cod,USA,38129.019967159875,3.5409129349845347,No
2004-11,Haddock,USA,44077.43738149886,2.6189567011546293,No
2004-11,Hake,USA,93505.91031560996,2.2948160097659414,No
2004-11,Pollock,USA,104828.95011385182,0.9093835233155061,No
2004-11,Redfish,USA,15933.358129745717,1.2345872,No
2004-12,Cod,USA,29840.97032595187,3.650761312719645,No
2004-12,Haddock,USA,24810.171367401184,3.1867937882882056,No
2004-12,Hake,USA,112232.94717456977,1.7984826655762618,No
2004-12,Pollock,USA,89330.58758425488,1.349730962938966,No
2004-12,Redfish,USA,10669.866008654551,1.3448181999999995,No
2005-01,Cod,NORWAY,7030.0,13.844381223328591,Yes
2005-01,Cod,USA,28033.85617476028,4.393058137712768,No
2005-01,Haddock,NORWAY,1300.0,12.62923076923077,Yes
2005-01,Haddock,USA,21404.595803358403,3.5995722931573026,No
2005-01,Hake,USA,114896.8983316853,2.432652352312636,No
2005-01,Pollock,ICELAND,1542.0,3.051232166018158,Yes
2005-01,Pollock,USA,87269.91499668878,1.7812476385006004,No
2005-01,Redfish,USA,12024.74802913881,1.543234,No
2005-02,Cod,RUSSIAN FEDERATION,6059.0,5.004456180887935,Yes
2005-02,Cod,USA,38438.82392430442,4.099450084901408,No
2005-02,Haddock,RUSSIAN FEDERATION,17781.0,1.757943872673078,Yes
2005-02,Haddock,USA,118470.7568651287,1.9883296623838458,No
2005-02,Hake,USA,144699.76685324457,2.245795049065854,No
2005-02,Pollock,USA,146578.548684127,1.4932984530478106,No
2005-02,Redfish,USA,13663.12561802034,1.433003,No
2005-03,Cod,NORWAY,2911.0,14.525249055307455,Yes
2005-03,Cod,POLAND,18142.0,4.243578436776541,Yes
2005-03,Cod,RUSSIAN FEDERATION,76879.0,5.488989190806332,Yes
2005-03,Cod,USA,52950.168282969404,4.312546634029211,No
2005-03,Haddock,ICELAND,2305.0,1.5431670281995662,Yes
2005-03,Haddock,RUSSIAN FEDERATION,7557.0,1.9751224030700016,Yes
2005-03,Haddock,USA,93068.64675091399,3.559341535142143,No
2005-03,Hake,USA,107903.40285400659,3.289451867243133,No
2005-03,Pollock,USA,278805.8713066198,1.6197498204883667,No
2005-03,Redfish,USA,9864.738594406292,1.6093725999999997,No
2005-04,Cod,NORWAY,994.0,12.985915492957746,Yes
2005-04,Cod,USA,51375.747294318295,4.502140254523944,No
